Screen_ID,Flow_Stage,Main_Component,Consistency_Score,Avg_Time_On_Page(s),Click_Through_Rate,Drop_off_Rate,Accessibility_Errors,Design_System_Version,Visual_Friction_Index
Owner_Details,Information,Data_Grid,90%,14,9,66%,39%,7,v1.1.5-legacy,6,7
Home,Landing,Hero_Banner,97%,43,9,107%,0%,8,v1.2.0,1,3
Owner_Details,Information,Data_Grid,71%,42,9,74%,30%,6,v1.1.5-legacy,1,5
Owner_Details,Information,Data_Grid,70%,38,1,64%,41%,10,v2.0.0-beta,5,3
Pet_Registration,Conversion,Form_Stepper,66%,43,7,58%,48%,1,v1.2.0,1,9
Confirmation,Success,Success_Checkmark,70%,33,2,100%,9%,2,v2.0.0-beta,2,5
Confirmation,Success,Success_Checkmark,75%,32,6,90%,14%,7,v2.0.0-beta,8,7
Confirmation,Success,Success_Checkmark,100%,6,9,97%,7%,3,v2.0.0-beta,3,7
Confirmation,Success,Success_Checkmark,75%,44,9,89%,15%,0,v1.2.0,4,2
Pet_Registration,Conversion,Form_Stepper,75%,28,6,48%,56%,2,v1.1.5-legacy,2,7
Pet_Registration,Conversion,Form_Stepper,84%,17,6,49%,54%,7,v2.0.0-beta,9,7
Visit_Booking,Conversion,Calendar_Widget,80%,33,2,48%,54%,0,v2.0.0-beta,6,4
Visit_Booking,Conversion,Calendar_Widget,80%,36,4,42%,61%,4,v1.2.0,8,7
Home,Landing,Hero_Banner,78%,10,1,82%,26%,6,v1.2.0,7,6
Home,Landing,Hero_Banner,93%,41,3,86%,18%,2,v2.0.0-beta,4,5
Owner_Details,Information,Data_Grid,68%,36,5,67%,40%,7,v1.1.5-legacy,6,3
Owner_Search,Discovery,Search_Input,62%,40,2,95%,11%,10,v1.1.5-legacy,2,7
Home,Landing,Hero_Banner,71%,35,9,95%,9%,4,v2.0.0-beta,2,7
Pet_Registration,Conversion,Form_Stepper,80%,27,2,55%,49%,2,v2.0.0-beta,6,3
Pet_Registration,Conversion,Form_Stepper,77%,32,1,67%,34%,12,v1.2.0,6,4
Owner_Details,Information,Data_Grid,74%,41,6,61%,41%,2,v2.0.0-beta,3,7
Visit_Booking,Conversion,Calendar_Widget,77%,34,6,33%,74%,8,v1.1.5-legacy,2,2
Pet_Registration,Conversion,Form_Stepper,71%,10,9,55%,52%,1,v1.2.0,1,7
Home,Landing,Hero_Banner,100%,35,2,80%,24%,12,v1.1.5-legacy,2,6
Owner_Details,Information,Data_Grid,84%,8,80%,29%,5,v1.2.0,4,2
Visit_Booking,Conversion,Calendar_Widget,73%,24,3,27%,80%,3,v2.0.0-beta,9,7
Owner_Search,Discovery,Search_Input,68%,14,2,98%,10%,9,v1.1.5-legacy,3,7
Owner_Search,Discovery,Search_Input,97%,34,8,73%,29%,11,v1.1.5-legacy,8,5
Visit_Booking,Conversion,Calendar_Widget,97%,36,1,40%,70%,0,v2.0.0-beta,2,4
Owner_Search,Discovery,Search_Input,65%,21,80%,26%,8,v1.1.5-legacy,8,9
Owner_Search,Discovery,Search_Input,94%,9,1,84%,23%,3,v2.0.0-beta,7,1
Owner_Details,Information,Data_Grid,60%,11,7,72%,32%,4,v1.1.5-legacy,8,3
Pet_Registration,Conversion,Form_Stepper,60%,14,9,66%,39%,11,v1.2.0,3,6
Confirmation,Success,Success_Checkmark,98%,9,103%,7%,3,v2.0.0-beta,5,5
Pet_Registration,Conversion,Form_Stepper,72%,10,5,50%,57%,9,v2.0.0-beta,5,5
Pet_Registration,Conversion,Form_Stepper,69%,28,49%,56%,12,v2.0.0-beta,8,7
Visit_Booking,Conversion,Calendar_Widget,83%,8,6,49%,57%,7,v1.1.5-legacy,3,5
Owner_Search,Discovery,Search_Input,79%,14,5,82%,27%,12,v1.1.5-legacy,2,5
Visit_Booking,Conversion,Calendar_Widget,95%,29,8,52%,53%,3,v1.1.5-legacy,8,5
Owner_Search,Discovery,Search_Input,100%,20,8,71%,33%,12,v2.0.0-beta,9,6
Visit_Booking,Conversion,Calendar_Widget,74%,31,1,29%,73%,3,v1.1.5-legacy,1,1
Visit_Booking,Conversion,Calendar_Widget,92%,36,1,38%,62%,2,v1.2.0,6,7
Visit_Booking,Conversion,Calendar_Widget,88%,24,3,34%,71%,0,v1.2.0,4,9
Owner_Search,Discovery,Search_Input,63%,7,2,93%,11%,7,v2.0.0-beta,4,1
Visit_Booking,Conversion,Calendar_Widget,65%,33,7,54%,54%,2,v1.1.5-legacy,4,7
Pet_Registration,Conversion,Form_Stepper,68%,15,2,54%,47%,10,v1.2.0,9,8
Visit_Booking,Conversion,Calendar_Widget,64%,20,4,49%,53%,0,v1.1.5-legacy,6,9
Confirmation,Success,Success_Checkmark,97%,39,5,107%,-5%,3,v2.0.0-beta,2,6
Pet_Registration,Conversion,Form_Stepper,94%,21,60%,41%,0,v2.0.0-beta,6,4
Visit_Booking,Conversion,Calendar_Widget,62%,43,3,28%,73%,0,v1.2.0,4,4
Visit_Booking,Conversion,Calendar_Widget,72%,18,1,38%,65%,9,v2.0.0-beta,7,2
Pet_Registration,Conversion,Form_Stepper,98%,3,3,43%,59%,7,v1.1.5-legacy,3,7
Pet_Registration,Conversion,Form_Stepper,86%,32,5,68%,38%,2,v1.1.5-legacy,7,8
Confirmation,Success,Success_Checkmark,72%,39,3,102%,1%,5,v2.0.0-beta,9,2
Pet_Registration,Conversion,Form_Stepper,77%,44,6,64%,38%,7,v2.0.0-beta,8,8
Visit_Booking,Conversion,Calendar_Widget,73%,39,1,37%,66%,12,v1.1.5-legacy,3,1
Pet_Registration,Conversion,Form_Stepper,61%,19,9,65%,40%,6,v2.0.0-beta,5,5
Confirmation,Success,Success_Checkmark,90%,20,5,98%,6%,7,v2.0.0-beta,2,1
Owner_Details,Information,Data_Grid,69%,18,7,64%,39%,1,v1.2.0,9,8
Home,Landing,Hero_Banner,71%,40,2,102%,7%,2,v2.0.0-beta,9,6
Home,Landing,Hero_Banner,60%,41,1,82%,25%,8,v1.1.5-legacy,2,5
Home,Landing,Hero_Banner,79%,10,2,101%,4%,0,v1.1.5-legacy,2,1
Pet_Registration,Conversion,Form_Stepper,83%,30,6,46%,63%,4,v2.0.0-beta,5,1
Pet_Registration,Conversion,Form_Stepper,87%,27,6,55%,54%,4,v1.1.5-legacy,7,2
Pet_Registration,Conversion,Form_Stepper,74%,39,5,54%,53%,10,v1.2.0,7,6
Visit_Booking,Conversion,Calendar_Widget,87%,26,9,29%,72%,10,v2.0.0-beta,1,5
Owner_Search,Discovery,Search_Input,88%,14,2,93%,14%,4,v1.2.0,7,3
Owner_Search,Discovery,Search_Input,76%,34,9,78%,27%,10,v1.1.5-legacy,7,7
Home,Landing,Hero_Banner,89%,18,2,105%,4%,1,v1.2.0,8
Confirmation,Success,Success_Checkmark,81%,12,1,89%,19%,2,v2.0.0-beta,7,4
Visit_Booking,Conversion,Calendar_Widget,93%,31,1,51%,53%,12,v1.1.5-legacy,3,6
Home,Landing,Hero_Banner,84%,16,1,110%,-9%,10,v2.0.0-beta,9,6
Pet_Registration,Conversion,Form_Stepper,89%,43,3,51%,55%,0,v2.0.0-beta,2,7
Pet_Registration,Conversion,Form_Stepper,63%,26,3,68%,39%,9,v1.1.5-legacy,1,4
Owner_Details,Information,Data_Grid,97%,21,78%,29%,9,v1.2.0,2,5
Owner_Details,Information,Data_Grid,75%,42,8,72%,34%,8,v1.1.5-legacy,2,5
Owner_Search,Discovery,Search_Input,94%,27,1,94%,16%,2,v2.0.0-beta,6,6
Owner_Search,Discovery,Search_Input,90%,11,7,76%,27%,4,v2.0.0-beta,4,7
Pet_Registration,Conversion,Form_Stepper,82%,7,1,43%,59%,0,v1.1.5-legacy,8,1
Owner_Search,Discovery,Search_Input,75%,24,3,83%,20%,4,v1.2.0,8,6
Owner_Details,Information,Data_Grid,90%,35,4,71%,38%,8,v1.1.5-legacy,3,2
Home,Landing,Hero_Banner,69%,22,2,82%,25%,4,v2.0.0-beta,1,8
Confirmation,Success,Success_Checkmark,94%,22,9,88%,21%,11,v1.2.0,2,5
Owner_Search,Discovery,Search_Input,66%,38,5,76%,29%,4,v1.2.0,8,7
Confirmation,Success,Success_Checkmark,87%,23,3,96%,7%,12,v1.1.5-legacy,9
Pet_Registration,Conversion,Form_Stepper,61%,16,2,68%,37%,3,v1.2.0,9,9
Owner_Details,Information,Data_Grid,74%,22,1,62%,43%,5,v1.1.5-legacy,5,9
Owner_Details,Information,Data_Grid,83%,6,5,76%,29%,4,v1.1.5-legacy,6,8
Confirmation,Success,Success_Checkmark,60%,3,6,109%,-6%,3,v1.1.5-legacy,8,9
Pet_Registration,Conversion,Form_Stepper,81%,18,9,69%,33%,0,v2.0.0-beta,10
